Variety,Train imgs,Test imgs,Recall E3,Recall E6,F1 E3,F1 E6,dRecall,dF1
GobindoBhog,30,6,1.0,1.0,1.0,1.0,0.0,0.0
RaniBhog,63,18,0.944,1.0,0.971,1.0,0.056,0.029
Fazli,87,12,0.667,0.333,0.762,0.5,-0.333,-0.262
Banana,153,33,1.0,1.0,1.0,1.0,0.0,0.0
Sundari,164,39,1.0,1.0,1.0,1.0,0.0,0.0
Bari 4,170,31,0.968,0.871,0.984,0.931,-0.097,-0.053
Khrishapat,253,59,0.966,0.949,0.95,0.966,-0.017,0.016
GopalBhog,279,76,1.0,1.0,0.993,0.993,0.0,0.0
Himsagar,360,79,0.962,1.0,0.968,0.952,0.038,-0.016
Langra,373,71,0.958,0.915,0.938,0.878,-0.042,-0.06
Amrapali,410,80,0.975,0.95,0.969,0.962,-0.025,-0.007
Harivanga,437,67,0.985,0.985,0.992,0.978,0.0,-0.015
